Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,191.750000,195.750000,190.500000,192.699997,190.700027,727126
2018-12-11,192.050003,195.149994,190.050003,193.600006,191.590698,1022629
2018-12-12,195.000000,200.649994,193.500000,199.399994,197.330490,822117
2018-12-13,200.600006,202.600006,198.399994,200.399994,198.320114,714383
2018-12-14,200.100006,203.100006,198.350006,201.199997,199.111816,466198
2018-12-17,214.250000,214.250000,205.000000,205.649994,203.515625,1983518
2018-12-18,205.899994,210.000000,204.300003,208.899994,206.731888,780950
2018-12-19,209.500000,209.949997,205.850006,206.899994,204.752655,674897
2018-12-20,205.000000,205.100006,201.500000,202.649994,200.546753,1318559
2018-12-21,204.649994,204.649994,199.350006,200.149994,198.072708,823165
2018-12-24,198.100006,203.500000,195.350006,195.850006,193.817352,898197
2018-12-26,196.899994,197.699997,193.050003,196.600006,194.559555,842299
2018-12-27,200.000000,202.100006,195.300003,195.949997,193.916306,1080087
2018-12-28,198.399994,200.500000,197.199997,199.399994,197.330490,651105
2018-12-31,202.399994,203.600006,200.600006,202.350006,200.249878,653237
2019-01-01,202.699997,202.949997,200.600006,202.149994,200.051941,330319
2019-01-02,201.000000,201.000000,192.449997,193.100006,191.095886,1359310
2019-01-03,193.800003,195.000000,187.649994,188.000000,186.048813,1200961
2019-01-04,187.100006,194.449997,186.850006,193.000000,190.996918,918237
2019-01-07,196.449997,198.600006,192.899994,193.449997,191.442245,957500
2019-01-08,194.000000,197.100006,192.050003,195.699997,193.668900,936963
2019-01-09,197.899994,198.000000,192.100006,194.699997,192.679276,930158
2019-01-10,195.850006,196.250000,193.699997,195.100006,193.075134,846864
2019-01-11,195.250000,198.300003,194.750000,196.550003,194.510071,562213
2019-01-14,196.000000,196.000000,192.050003,193.050003,191.046402,516141
2019-01-15,193.300003,199.699997,193.300003,198.899994,196.835678,724820
2019-01-16,201.000000,202.449997,195.649994,196.250000,194.213196,1050215
2019-01-17,197.800003,198.149994,195.500000,197.300003,195.252289,381113
2019-01-18,198.500000,199.899994,195.899994,198.149994,196.093460,728412
2019-01-21,200.000000,200.100006,197.750000,198.399994,196.340866,336093
2019-01-22,199.399994,199.399994,191.000000,191.449997,189.462997,930439
2019-01-23,191.449997,195.000000,190.649994,192.850006,190.848480,523203
2019-01-24,192.600006,195.550003,191.350006,193.250000,191.244324,443910
2019-01-25,194.500000,196.250000,192.600006,194.949997,192.926682,350562
2019-01-28,195.699997,196.000000,190.850006,191.449997,189.462997,434237
2019-01-29,191.500000,193.800003,189.449997,192.850006,190.848480,296327
2019-01-30,193.449997,196.250000,192.250000,194.050003,192.036026,495208
2019-01-31,195.500000,198.000000,193.850006,197.500000,195.450211,443358
2019-02-01,180.000000,180.500000,158.350006,162.300003,160.615540,7114432
2019-02-04,162.500000,164.949997,156.500000,161.449997,159.774368,1791887
2019-02-05,160.000000,164.600006,157.199997,162.500000,160.813461,927307
2019-02-06,164.199997,165.000000,157.899994,163.750000,162.050491,1088713
2019-02-07,164.000000,165.600006,161.850006,163.449997,161.753601,791749
2019-02-08,162.500000,162.550003,149.750000,154.050003,152.451172,1901604
2019-02-11,154.000000,155.050003,147.050003,152.100006,150.521408,1346020
2019-02-12,152.050003,158.000000,150.600006,152.899994,151.313095,940236
2019-02-14,150.899994,153.199997,149.199997,151.800003,150.224518,766094
2019-02-15,151.000000,151.199997,145.899994,147.449997,145.919662,1121638
2019-02-18,148.899994,151.199997,146.750000,148.000000,146.463959,813088
2019-02-19,148.000000,154.300003,148.000000,153.000000,151.412064,784048
2019-02-20,154.850006,160.649994,154.149994,160.149994,158.487854,1137937
2019-02-21,161.699997,165.600006,160.449997,164.600006,162.891678,972504
2019-02-22,164.800003,170.000000,160.000000,169.300003,167.542892,908193
2019-02-25,171.000000,171.750000,167.399994,171.050003,169.274734,901765
2019-02-26,168.949997,171.199997,164.050003,169.600006,167.839783,794684
2019-02-27,170.500000,171.449997,163.750000,164.649994,162.941147,866565
2019-02-28,165.649994,171.000000,164.250000,169.399994,167.641846,806430
2019-03-01,172.000000,174.699997,171.850006,173.199997,171.402420,704801
2019-03-05,173.500000,176.300003,172.500000,174.949997,173.134247,611948
2019-03-06,177.000000,179.850006,176.300003,178.449997,176.597931,731828
2019-03-07,178.199997,178.899994,172.750000,175.899994,174.074387,591850
2019-03-08,176.000000,176.000000,171.250000,172.350006,170.561249,385672
2019-03-11,173.199997,178.500000,172.750000,176.699997,174.866089,441026
2019-03-12,178.699997,180.199997,177.449997,178.250000,176.400009,547621
2019-03-13,179.449997,179.449997,171.199997,172.050003,172.050003,819892
2019-03-14,173.750000,174.699997,171.550003,173.699997,173.699997,786138
2019-03-15,173.500000,176.000000,170.350006,175.250000,175.250000,478571
2019-03-18,175.899994,175.899994,171.850006,173.250000,173.250000,487771
2019-03-19,172.649994,175.250000,171.550003,172.699997,172.699997,417615
2019-03-20,173.500000,175.399994,172.699997,174.149994,174.149994,369749
2019-03-22,174.000000,176.500000,172.899994,173.949997,173.949997,375133
2019-03-25,170.800003,171.149994,168.000000,168.250000,168.250000,433348
2019-03-26,169.600006,174.399994,169.000000,173.600006,173.600006,458892
2019-03-27,175.000000,177.149994,173.550003,175.550003,175.550003,474454
2019-03-28,177.800003,178.949997,175.750000,178.050003,178.050003,601026
2019-04-01,189.000000,193.100006,187.399994,189.000000,189.000000,1039482
2019-04-02,192.000000,192.000000,186.550003,187.649994,187.649994,747182
2019-04-03,189.850006,191.149994,185.100006,185.850006,185.850006,389525
2019-04-04,183.149994,188.899994,183.149994,187.149994,187.149994,419125
2019-04-05,188.000000,192.300003,186.699997,191.600006,191.600006,455997
2019-04-08,193.800003,195.000000,185.350006,186.800003,186.800003,650185
2019-04-09,187.449997,190.899994,184.300003,190.149994,190.149994,500124
2019-04-10,189.500000,191.699997,185.699997,188.300003,188.300003,497111
2019-04-11,188.250000,188.250000,179.600006,181.300003,181.300003,1210683
2019-04-12,181.600006,184.300003,179.750000,183.899994,183.899994,558420
2019-04-15,184.500000,187.949997,183.800003,184.800003,184.800003,354382
2019-04-16,185.500000,189.649994,184.800003,185.199997,185.199997,519794
2019-04-18,185.899994,186.800003,178.000000,178.699997,178.699997,643918
2019-04-22,179.000000,179.699997,174.699997,175.100006,175.100006,294967
2019-04-23,175.500000,176.350006,174.199997,174.699997,174.699997,255103
2019-04-24,175.149994,175.949997,171.149994,174.850006,174.850006,501529
2019-04-25,175.250000,175.250000,170.300003,170.850006,170.850006,416829
2019-04-26,172.000000,172.600006,168.100006,169.649994,169.649994,786534
2019-04-30,170.000000,170.000000,163.550003,166.850006,166.850006,848910
2019-05-02,168.000000,169.100006,164.449997,168.300003,168.300003,495530
2019-05-03,167.100006,168.949997,165.949997,167.750000,167.750000,342333
2019-05-06,164.850006,168.300003,163.250000,166.850006,166.850006,398204
2019-05-07,167.399994,170.149994,162.000000,163.399994,163.399994,929660
