Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,null,null,null,null,null,null
2018-05-09,624.000000,628.700012,616.000000,625.700012,624.630066,984177
2018-05-10,629.900024,633.700012,615.700012,625.599976,624.530212,1523428
2018-05-11,628.900024,640.000000,619.099976,630.349976,629.272095,1494800
2018-05-14,632.700012,645.000000,624.450012,636.700012,635.611267,1826798
2018-05-15,635.000000,651.049988,630.750000,640.099976,639.005432,1379468
2018-05-16,637.000000,648.450012,633.200012,642.599976,641.501160,893208
2018-05-17,643.000000,648.000000,635.250000,641.299988,640.203369,1025053
2018-05-18,631.250000,658.099976,630.500000,649.650024,648.539124,3027877
2018-05-21,644.450012,651.849976,616.200012,626.849976,625.778076,1710169
2018-05-22,628.000000,649.900024,616.400024,645.049988,643.946960,1927693
2018-05-23,644.000000,649.400024,633.500000,638.200012,637.108704,1113875
2018-05-24,642.000000,648.450012,633.049988,645.349976,644.246399,918811
2018-05-25,645.000000,663.849976,639.150024,659.950012,658.821472,1460439
2018-05-28,664.900024,670.000000,656.099976,666.150024,665.010925,1814323
2018-05-29,666.049988,682.000000,659.799988,676.450012,675.293274,1703895
2018-05-30,673.000000,683.000000,670.349976,674.900024,673.745972,1647394
2018-05-31,674.950012,679.200012,661.750000,665.400024,664.262207,5114062
2018-06-01,666.299988,667.900024,641.099976,649.000000,647.890198,1605796
2018-06-04,650.000000,663.849976,641.200012,654.549988,653.430725,2726642
2018-06-05,695.000000,696.599976,575.650024,607.400024,606.361389,17474272
2018-06-06,618.000000,618.000000,591.000000,608.349976,607.309692,8158782
2018-06-07,608.000000,612.000000,601.000000,606.000000,604.963745,2352438
2018-06-08,601.000000,618.500000,601.000000,608.049988,607.010254,3608727
2018-06-11,610.000000,615.400024,602.150024,604.250000,603.216736,1455764
2018-06-12,606.500000,622.400024,602.049988,616.799988,615.745239,3648604
2018-06-13,618.000000,625.799988,609.299988,612.150024,611.103271,1874574
2018-06-14,612.000000,617.500000,606.400024,614.349976,613.299438,1501493
2018-06-15,622.000000,627.549988,613.849976,623.650024,622.583557,3096138
2018-06-18,621.000000,629.450012,617.500000,620.349976,619.289185,1472205
2018-06-19,619.200012,622.000000,606.950012,608.799988,607.758911,1026679
2018-06-20,605.549988,627.450012,605.549988,623.750000,622.683411,1955118
2018-06-21,625.000000,626.700012,613.500000,620.349976,619.289185,1410408
2018-06-22,619.900024,633.799988,615.250000,629.650024,628.573303,2051466
2018-06-25,636.750000,645.000000,632.000000,634.500000,633.414978,4081851
2018-06-26,632.000000,640.900024,630.799988,637.000000,635.910706,1371449
2018-06-27,643.950012,643.950012,631.549988,638.400024,637.308350,1948938
2018-06-28,638.700012,640.000000,612.650024,616.599976,615.545593,2513990
2018-06-29,618.250000,621.900024,604.349976,619.549988,618.490540,1680332
2018-07-02,619.000000,622.000000,610.500000,615.950012,614.896729,861217
2018-07-03,614.200012,631.500000,612.099976,628.549988,627.475159,1654383
2018-07-04,630.450012,636.000000,621.500000,628.250000,627.175720,1587731
2018-07-05,636.500000,637.950012,625.849976,627.549988,626.476868,1969630
2018-07-06,629.000000,633.799988,625.849976,631.099976,630.020813,1053895
2018-07-09,634.000000,639.000000,630.000000,637.799988,636.709351,1349917
2018-07-10,639.099976,640.650024,629.250000,633.450012,632.366821,1040458
2018-07-11,633.000000,634.750000,624.349976,625.450012,624.380493,960233
2018-07-12,626.150024,630.000000,609.150024,611.500000,610.454346,1742004
2018-07-13,611.500000,617.599976,594.799988,599.250000,598.225281,2362799
2018-07-16,600.250000,602.000000,578.000000,582.549988,581.553833,1717726
2018-07-17,582.650024,599.950012,577.450012,591.599976,590.588318,1484421
2018-07-18,594.000000,596.000000,577.650024,584.799988,583.799988,1129308
2018-07-19,587.099976,587.799988,566.000000,572.099976,572.099976,1557450
2018-07-20,568.049988,587.450012,567.000000,576.150024,576.150024,1789183
2018-07-23,578.150024,578.150024,559.549988,568.500000,568.500000,1152106
2018-07-24,570.049988,582.450012,563.000000,574.400024,574.400024,2164295
2018-07-25,576.299988,576.450012,550.049988,553.299988,553.299988,1926004
2018-07-26,551.849976,565.450012,543.299988,558.250000,558.250000,2261722
2018-07-27,570.000000,614.450012,569.000000,586.200012,586.200012,15507713
2018-07-30,590.549988,590.549988,577.200012,582.750000,582.750000,2367546
2018-07-31,582.849976,593.500000,578.000000,586.400024,586.400024,2108544
2018-08-01,586.799988,591.900024,580.750000,583.349976,583.349976,1380202
2018-08-02,583.400024,590.750000,575.799988,584.450012,584.450012,1967030
2018-08-03,587.900024,597.799988,581.000000,582.900024,582.900024,1989084
2018-08-06,587.000000,587.250000,572.250000,573.549988,573.549988,1088314
2018-08-07,575.000000,578.799988,568.099976,574.150024,574.150024,1291375
2018-08-08,574.150024,580.000000,565.000000,566.299988,566.299988,1576790
2018-08-09,567.000000,574.799988,564.299988,570.299988,570.299988,1494292
2018-08-10,570.000000,577.549988,563.000000,564.900024,564.900024,1460009
2018-08-13,561.000000,575.000000,560.150024,571.700012,571.700012,934856
2018-08-14,574.799988,590.950012,570.099976,589.400024,589.400024,1989724
2018-08-16,591.000000,599.900024,589.000000,597.650024,597.650024,2389580
2018-08-17,600.099976,609.900024,588.299988,591.299988,591.299988,2225295
2018-08-20,592.000000,609.400024,591.000000,604.099976,604.099976,2201651
2018-08-21,606.000000,614.950012,595.400024,612.299988,612.299988,2213334
